comparison,project,llm,generated_relative_path,original_relative_path,generated_complexity,original_complexity,delta_complexity,generated_complexity_per_100_ncloc,original_complexity_per_100_ncloc,delta_complexity_per_100_ncloc
original_vs_assisted,BREAST-CANCER-PREDICTION-SYSTEM,codex,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_codex.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,29,5,24,36.7089,6.4935,30.2154
original_vs_assisted,BREAST-CANCER-PREDICTION-SYSTEM,gemini,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_gemini.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,5,5,0,14.7059,6.4935,8.2124
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,chatgpt,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_chatgpt.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,58,5,53,23.5772,6.4935,17.0837
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,claude,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_claude.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,7,5,2,13.4615,6.4935,6.9680
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,codex,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_codex.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,46,5,41,27.2189,6.4935,20.7254
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,gemini,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_gemini.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,21,5,16,25.3012,6.4935,18.8077
original_vs_assisted,BreastCancer_Classification,chatgpt,BreastCancer_Classification/GENAIGREENML_assisted_chatgpt.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,24,13,11,25,17.3333,7.6667
original_vs_assisted,BreastCancer_Classification,claude,BreastCancer_Classification/GENAIGREENML_assisted_claude.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,8,13,-5,19.0476,17.3333,1.7143
original_vs_assisted,BreastCancer_Classification,codex,BreastCancer_Classification/GENAIGREENML_assisted_codex.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,37,13,24,38.1443,17.3333,20.8110
original_vs_assisted,BreastCancer_Classification,gemini,BreastCancer_Classification/GENAIGREENML_assisted_gemini.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,5,13,-8,13.8889,17.3333,-3.4444
original_vs_autonomous,BreastCancer_Classification,chatgpt,BreastCancer_Classification/GENAIGREENML_autonomous_chatgpt.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,50,13,37,23.5849,17.3333,6.2516
original_vs_autonomous,BreastCancer_Classification,codex,BreastCancer_Classification/GENAIGREENML_autonomous_codex.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,48,13,35,29.8137,17.3333,12.4803
original_vs_assisted,CT_Project,chatgpt,CT_Project/GENAIGREENML_assisted_chatgpt.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,10,2,8,24.3902,5.8824,18.5079
original_vs_assisted,CT_Project,claude,CT_Project/GENAIGREENML_assisted_claude.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,1,2,-1,3.5714,5.8824,-2.3109
original_vs_assisted,CT_Project,codex,CT_Project/GENAIGREENML_assisted_codex.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,13,2,11,20.3125,5.8824,14.4301
original_vs_assisted,CT_Project,gemini,CT_Project/GENAIGREENML_assisted_gemini.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,3,2,1,9.0909,5.8824,3.2086
original_vs_autonomous,CT_Project,chatgpt,CT_Project/GENAIGREENML_autonomous_chatgpt.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,56,2,54,31.1111,5.8824,25.2288
original_vs_autonomous,CT_Project,claude,CT_Project/GENAIGREENML_autonomous_claude.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,12,2,10,17.1429,5.8824,11.2605
original_vs_autonomous,CT_Project,codex,CT_Project/GENAIGREENML_autonomous_codex.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,60,2,58,29.5567,5.8824,23.6743
original_vs_autonomous,CT_Project,gemini,CT_Project/GENAIGREENML_autonomous_gemini.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,11,2,9,17.4603,5.8824,11.5780
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,chatgpt,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_chatgpt.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,17,2,15,20.7317,6.2500,14.4817
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,claude,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_claude.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,2,2,0,5.8824,6.2500,-0.3676
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,codex,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_codex.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,25,2,23,36.2319,6.2500,29.9819
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,gemini,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_gemini.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,3,2,1,9.3750,6.2500,3.1250
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,chatgpt,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_chatgpt.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,55,2,53,26.5700,6.2500,20.3200
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,claude,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_claude.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,12,2,10,20,6.2500,13.7500
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,codex,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_codex.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,73,2,71,35.4369,6.2500,29.1869
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,gemini,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_gemini.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,16,2,14,20.7792,6.2500,14.5292
