comparison,project,llm,generated_relative_path,original_relative_path,generated_complexity,original_complexity,delta_complexity,generated_complexity_per_100_ncloc,original_complexity_per_100_ncloc,delta_complexity_per_100_ncloc
original_vs_autonomous,Email-spam-detector,gemini,Email-spam-detector/GENAIGREENML_autonomous_gemini.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,19,15,4,27.1429,20.8333,6.3095
original_vs_assisted,FakeNewsPrediction,chatgpt,FakeNewsPrediction/GENAIGREENML_assisted_chatgpt.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,16,2,14,20.7792,8.3333,12.4459
original_vs_assisted,FakeNewsPrediction,claude,FakeNewsPrediction/GENAIGREENML_assisted_claude.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,5,2,3,11.1111,8.3333,2.7778
original_vs_assisted,FakeNewsPrediction,codex,FakeNewsPrediction/GENAIGREENML_assisted_codex.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,16,2,14,21.9178,8.3333,13.5845
original_vs_assisted,FakeNewsPrediction,gemini,FakeNewsPrediction/GENAIGREENML_assisted_gemini.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,3,2,1,7.3171,8.3333,-1.0163
original_vs_autonomous,FakeNewsPrediction,chatgpt,FakeNewsPrediction/GENAIGREENML_autonomous_chatgpt.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,68,2,66,33.8308,8.3333,25.4975
original_vs_autonomous,FakeNewsPrediction,codex,FakeNewsPrediction/GENAIGREENML_autonomous_codex.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,62,2,60,30.0971,8.3333,21.7638
original_vs_autonomous,FakeNewsPrediction,gemini,FakeNewsPrediction/GENAIGREENML_autonomous_gemini.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,15,2,13,20.5479,8.3333,12.2146
original_vs_assisted,HWStudentGradPredictor,chatgpt,HWStudentGradPredictor/GENAIGREENML_assisted_chatgpt.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,21,2,19,32.3077,9.0909,23.2168
original_vs_assisted,HWStudentGradPredictor,claude,HWStudentGradPredictor/GENAIGREENML_assisted_claude.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,1,2,-1,5.2632,9.0909,-3.8278
original_vs_assisted,HWStudentGradPredictor,codex,HWStudentGradPredictor/GENAIGREENML_assisted_codex.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,14,2,12,28.0000,9.0909,18.9091
original_vs_assisted,HWStudentGradPredictor,gemini,HWStudentGradPredictor/GENAIGREENML_assisted_gemini.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,3,2,1,9.3750,9.0909,0.2841
original_vs_autonomous,HWStudentGradPredictor,chatgpt,HWStudentGradPredictor/GENAIGREENML_autonomous_chatgpt.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,41,2,39,23.6994,9.0909,14.6085
original_vs_autonomous,HWStudentGradPredictor,codex,HWStudentGradPredictor/GENAIGREENML_autonomous_codex.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,52,2,50,32.5000,9.0909,23.4091
original_vs_autonomous,HWStudentGradPredictor,gemini,HWStudentGradPredictor/GENAIGREENML_autonomous_gemini.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,17,2,15,20,9.0909,10.9091
original_vs_assisted,IMDB-Sentiment-Analysis,chatgpt,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_chatgpt.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,9,2,7,17.3077,4.5455,12.7622
original_vs_assisted,IMDB-Sentiment-Analysis,claude,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_claude.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,2,2,0,8.3333,4.5455,3.7879
original_vs_assisted,IMDB-Sentiment-Analysis,codex,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_codex.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,21,2,19,29.1667,4.5455,24.6212
original_vs_assisted,IMDB-Sentiment-Analysis,gemini,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_gemini.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,2,2,0,7.6923,4.5455,3.1469
original_vs_autonomous,IMDB-Sentiment-Analysis,chatgpt,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_chatgpt.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,69,2,67,32.5472,4.5455,28.0017
original_vs_autonomous,IMDB-Sentiment-Analysis,claude,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_claude.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,18,2,16,24.6575,4.5455,20.1121
original_vs_autonomous,IMDB-Sentiment-Analysis,codex,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_codex.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,45,2,43,28.1250,4.5455,23.5795
original_vs_autonomous,IMDB-Sentiment-Analysis,gemini,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_gemini.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,17,2,15,20,4.5455,15.4545
original_vs_assisted,Iris-Classification-ML-problem,chatgpt,Iris-Classification-ML-problem/GENAIGREENML_assisted_chatgpt.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,17,13,4,17.3469,13.5417,3.8053
original_vs_assisted,Iris-Classification-ML-problem,claude,Iris-Classification-ML-problem/GENAIGREENML_assisted_claude.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,6,13,-7,9.5238,13.5417,-4.0179
original_vs_assisted,Iris-Classification-ML-problem,codex,Iris-Classification-ML-problem/GENAIGREENML_assisted_codex.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,26,13,13,21.8487,13.5417,8.3071
original_vs_assisted,Iris-Classification-ML-problem,gemini,Iris-Classification-ML-problem/GENAIGREENML_assisted_gemini.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,6,13,-7,10.9091,13.5417,-2.6326
original_vs_autonomous,Iris-Classification-ML-problem,chatgpt,Iris-Classification-ML-problem/GENAIGREENML_autonomous_chatgpt.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,73,13,60,30.8017,13.5417,17.2600
original_vs_autonomous,Iris-Classification-ML-problem,codex,Iris-Classification-ML-problem/GENAIGREENML_autonomous_codex.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,71,13,58,32.5688,13.5417,19.0271
original_vs_autonomous,Iris-Classification-ML-problem,gemini,Iris-Classification-ML-problem/GENAIGREENML_autonomous_gemini.py,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,25,13,12,25.2525,13.5417,11.7109
original_vs_assisted,Iris-Flower-Classification-Codealpha,chatgpt,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_chatgpt.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,10,3,7,18.5185,10,8.5185
original_vs_assisted,Iris-Flower-Classification-Codealpha,claude,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_claude.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,4,3,1,12.5000,10,2.5000
original_vs_assisted,Iris-Flower-Classification-Codealpha,codex,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_codex.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,26,3,23,34.6667,10,24.6667
original_vs_assisted,Iris-Flower-Classification-Codealpha,gemini,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_gemini.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,5,3,2,13.8889,10,3.8889
original_vs_autonomous,Iris-Flower-Classification-Codealpha,chatgpt,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_chatgpt.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,49,3,46,27.3743,10,17.3743
original_vs_autonomous,Iris-Flower-Classification-Codealpha,claude,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_claude.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,8,3,5,14.0351,10,4.0351
original_vs_autonomous,Iris-Flower-Classification-Codealpha,codex,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_codex.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,66,3,63,35.4839,10,25.4839
original_vs_autonomous,Iris-Flower-Classification-Codealpha,gemini,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_gemini.py,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,15,3,12,22.3881,10,12.3881
original_vs_assisted,Iris-Flower-Classification-Codealpha2,chatgpt,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_chatgpt.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,8,3,5,16.3265,10,6.3265
original_vs_assisted,Iris-Flower-Classification-Codealpha2,claude,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_claude.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,5,3,2,15.6250,10,5.6250
original_vs_assisted,Iris-Flower-Classification-Codealpha2,codex,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_codex.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,16,3,13,27.5862,10,17.5862
original_vs_assisted,Iris-Flower-Classification-Codealpha2,gemini,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_gemini.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,4,3,1,12.9032,10,2.9032
original_vs_autonomous,Iris-Flower-Classification-Codealpha2,chatgpt,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_chatgpt.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,62,3,59,32.9787,10,22.9787
original_vs_autonomous,Iris-Flower-Classification-Codealpha2,claude,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_claude.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,9,3,6,13.8462,10,3.8462
original_vs_autonomous,Iris-Flower-Classification-Codealpha2,codex,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_codex.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,41,3,38,26.9737,10,16.9737
original_vs_autonomous,Iris-Flower-Classification-Codealpha2,gemini,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_gemini.py,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,18,3,15,23.3766,10,13.3766
original_vs_assisted,Iris-Flower-Classification-Codealpha3,chatgpt,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_chatgpt.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,8,1,7,16.3265,4.3478,11.9787
original_vs_assisted,Iris-Flower-Classification-Codealpha3,claude,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_claude.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,2,1,1,8,4.3478,3.6522
original_vs_assisted,Iris-Flower-Classification-Codealpha3,codex,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_codex.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,16,1,15,29.0909,4.3478,24.7431
original_vs_assisted,Iris-Flower-Classification-Codealpha3,gemini,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_gemini.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,4,1,3,14.2857,4.3478,9.9379
original_vs_autonomous,Iris-Flower-Classification-Codealpha3,chatgpt,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_chatgpt.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,56,1,55,33.5329,4.3478,29.1851
original_vs_autonomous,Iris-Flower-Classification-Codealpha3,claude,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_claude.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,10,1,9,16.9492,4.3478,12.6013
original_vs_autonomous,Iris-Flower-Classification-Codealpha3,codex,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_codex.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,60,1,59,30.7692,4.3478,26.4214
original_vs_autonomous,Iris-Flower-Classification-Codealpha3,gemini,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_gemini.py,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,18,1,17,25.3521,4.3478,21.0043
original_vs_assisted,Iris-ML-Lab,chatgpt,Iris-ML-Lab/GENAIGREENML_assisted_chatgpt.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,16,1,15,20.7792,4.1667,16.6126
original_vs_assisted,Iris-ML-Lab,claude,Iris-ML-Lab/GENAIGREENML_assisted_claude.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,1,1,0,5.8824,4.1667,1.7157
original_vs_assisted,Iris-ML-Lab,codex,Iris-ML-Lab/GENAIGREENML_assisted_codex.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,13,1,12,23.6364,4.1667,19.4697
original_vs_assisted,Iris-ML-Lab,gemini,Iris-ML-Lab/GENAIGREENML_assisted_gemini.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,6,1,5,23.0769,4.1667,18.9103
original_vs_autonomous,Iris-ML-Lab,chatgpt,Iris-ML-Lab/GENAIGREENML_autonomous_chatgpt.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,53,1,52,30.2857,4.1667,26.1190
original_vs_autonomous,Iris-ML-Lab,claude,Iris-ML-Lab/GENAIGREENML_autonomous_claude.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,10,1,9,20,4.1667,15.8333
original_vs_autonomous,Iris-ML-Lab,codex,Iris-ML-Lab/GENAIGREENML_autonomous_codex.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,54,1,53,27,4.1667,22.8333
original_vs_autonomous,Iris-ML-Lab,gemini,Iris-ML-Lab/GENAIGREENML_autonomous_gemini.py,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,21,1,20,27.6316,4.1667,23.4649
original_vs_assisted,JunctionalClassifier,chatgpt,JunctionalClassifier/GENAIGREENML_assisted_chatgpt.py,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,24,18,6,25.5319,17.8218,7.7101
original_vs_assisted,JunctionalClassifier,claude,JunctionalClassifier/GENAIGREENML_assisted_claude.py,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,6,18,-12,15.3846,17.8218,-2.4372
original_vs_assisted,JunctionalClassifier,codex,JunctionalClassifier/GENAIGREENML_assisted_codex.py,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,109,18,91,41.6031,17.8218,23.7813
original_vs_assisted,JunctionalClassifier,gemini,JunctionalClassifier/GENAIGREENML_assisted_gemini.py,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,9,18,-9,15.7895,17.8218,-2.0323
original_vs_autonomous,JunctionalClassifier,chatgpt,JunctionalClassifier/GENAIGREENML_autonomous_chatgpt.py,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,71,18,53,26.5918,17.8218,8.7700
original_vs_autonomous,JunctionalClassifier,gemini,JunctionalClassifier/GENAIGREENML_autonomous_gemini.py,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,23,18,5,22.7723,17.8218,4.9505
original_vs_assisted,JunctionalClassifier2,chatgpt,JunctionalClassifier2/GENAIGREENML_assisted_chatgpt.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,11,18,-7,17.4603,19.7802,-2.3199
original_vs_assisted,JunctionalClassifier2,claude,JunctionalClassifier2/GENAIGREENML_assisted_claude.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,1,18,-17,4.5455,19.7802,-15.2348
original_vs_assisted,JunctionalClassifier2,codex,JunctionalClassifier2/GENAIGREENML_assisted_codex.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,44,18,26,31.2057,19.7802,11.4255
original_vs_assisted,JunctionalClassifier2,gemini,JunctionalClassifier2/GENAIGREENML_assisted_gemini.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,10,18,-8,21.2766,19.7802,1.4964
original_vs_autonomous,JunctionalClassifier2,chatgpt,JunctionalClassifier2/GENAIGREENML_autonomous_chatgpt.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,59,18,41,26.4574,19.7802,6.6772
original_vs_autonomous,JunctionalClassifier2,codex,JunctionalClassifier2/GENAIGREENML_autonomous_codex.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,76,18,58,30.5221,19.7802,10.7419
original_vs_autonomous,JunctionalClassifier2,gemini,JunctionalClassifier2/GENAIGREENML_autonomous_gemini.py,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,27,18,9,23.2759,19.7802,3.4956
original_vs_assisted,JunctionalClassifier3,chatgpt,JunctionalClassifier3/GENAIGREENML_assisted_chatgpt.py,JunctionalClassifier3/GENAIGREENML_original_telemetry_chatgpt.py,10,18,-8,22.7273,19.1489,3.5783
original_vs_assisted,JunctionalClassifier3,claude,JunctionalClassifier3/GENAIGREENML_assisted_claude.py,JunctionalClassifier3/GENAIGREENML_original_telemetry_chatgpt.py,9,18,-9,13.0435,19.1489,-6.1055
original_vs_assisted,JunctionalClassifier3,codex,JunctionalClassifier3/GENAIGREENML_assisted_codex.py,JunctionalClassifier3/GENAIGREENML_original_telemetry_chatgpt.py,110,18,92,48.0349,19.1489,28.8860
original_vs_assisted,JunctionalClassifier3,gemini,JunctionalClassifier3/GENAIGREENML_assisted_gemini.py,JunctionalClassifier3/GENAIGREENML_original_telemetry_chatgpt.py,17,18,-1,31.4815,19.1489,12.3325
original_vs_autonomous,JunctionalClassifier3,gemini,JunctionalClassifier3/GENAIGREENML_autonomous_gemini.py,JunctionalClassifier3/GENAIGREENML_original_telemetry_chatgpt.py,23,18,5,21.2963,19.1489,2.1474
original_vs_assisted,K-Nearest-Neighbor-Algorithm,chatgpt,K-Nearest-Neighbor-Algorithm/GENAIGREENML_assisted_chatgpt.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,21,20,1,15.7895,32.2581,-16.4686
original_vs_assisted,K-Nearest-Neighbor-Algorithm,claude,K-Nearest-Neighbor-Algorithm/GENAIGREENML_assisted_claude.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,4,20,-16,10.5263,32.2581,-21.7317
original_vs_assisted,K-Nearest-Neighbor-Algorithm,codex,K-Nearest-Neighbor-Algorithm/GENAIGREENML_assisted_codex.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,15,20,-5,23.0769,32.2581,-9.1811
original_vs_assisted,K-Nearest-Neighbor-Algorithm,gemini,K-Nearest-Neighbor-Algorithm/GENAIGREENML_assisted_gemini.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,6,20,-14,14.6341,32.2581,-17.6239
original_vs_autonomous,K-Nearest-Neighbor-Algorithm,chatgpt,K-Nearest-Neighbor-Algorithm/GENAIGREENML_autonomous_chatgpt.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,35,20,15,22.2930,32.2581,-9.9651
original_vs_autonomous,K-Nearest-Neighbor-Algorithm,claude,K-Nearest-Neighbor-Algorithm/GENAIGREENML_autonomous_claude.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,6,20,-14,11.5385,32.2581,-20.7196
original_vs_autonomous,K-Nearest-Neighbor-Algorithm,codex,K-Nearest-Neighbor-Algorithm/GENAIGREENML_autonomous_codex.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,44,20,24,26.8293,32.2581,-5.4288
original_vs_autonomous,K-Nearest-Neighbor-Algorithm,gemini,K-Nearest-Neighbor-Algorithm/GENAIGREENML_autonomous_gemini.py,K-Nearest-Neighbor-Algorithm/GENAIGREENML_original_telemetry_chatgpt.py,19,20,-1,23.7500,32.2581,-8.5081
original_vs_assisted,ML_CSV_Classification,chatgpt,ML_CSV_Classification/GENAIGREENML_assisted_chatgpt.py,ML_CSV_Classification/GENAIGREENML_original_telemetry_chatgpt.py,9,9,0,16.6667,17.6471,-0.9804
original_vs_assisted,ML_CSV_Classification,claude,ML_CSV_Classification/GENAIGREENML_assisted_claude.py,ML_CSV_Classification/GENAIGREENML_original_telemetry_chatgpt.py,3,9,-6,12.5000,17.6471,-5.1471
original_vs_assisted,ML_CSV_Classification,codex,ML_CSV_Classification/GENAIGREENML_assisted_codex.py,ML_CSV_Classification/GENAIGREENML_original_telemetry_chatgpt.py,31,9,22,30.3922,17.6471,12.7451
original_vs_assisted,ML_CSV_Classification,gemini,ML_CSV_Classification/GENAIGREENML_assisted_gemini.py,ML_CSV_Classification/GENAIGREENML_original_telemetry_chatgpt.py,4,9,-5,12.5000,17.6471,-5.1471
original_vs_autonomous,ML_CSV_Classification,chatgpt,ML_CSV_Classification/GENAIGREENML_autonomous_chatgpt.py,ML_CSV_Classification/GENAIGREENML_original_telemetry_chatgpt.py,79,9,70,23.5821,17.6471,5.9350
original_vs_autonomous,ML_CSV_Classification,gemini,ML_CSV_Classification/GENAIGREENML_autonomous_gemini.py,ML_CSV_Classification/GENAIGREENML_original_telemetry_chatgpt.py,25,9,16,24.5098,17.6471,6.8627
original_vs_assisted,MachineLearn-WineClassifier,chatgpt,MachineLearn-WineClassifier/GENAIGREENML_assisted_chatgpt.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,11,0,11,18.6441,0,18.6441
original_vs_assisted,MachineLearn-WineClassifier,claude,MachineLearn-WineClassifier/GENAIGREENML_assisted_claude.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,1,0,1,3.5714,0,3.5714
original_vs_assisted,MachineLearn-WineClassifier,codex,MachineLearn-WineClassifier/GENAIGREENML_assisted_codex.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,16,0,16,20.5128,0,20.5128
original_vs_assisted,MachineLearn-WineClassifier,gemini,MachineLearn-WineClassifier/GENAIGREENML_assisted_gemini.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,6,0,6,20.6897,0,20.6897
original_vs_autonomous,MachineLearn-WineClassifier,chatgpt,MachineLearn-WineClassifier/GENAIGREENML_autonomous_chatgpt.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,62,0,62,28.0543,0,28.0543
original_vs_autonomous,MachineLearn-WineClassifier,codex,MachineLearn-WineClassifier/GENAIGREENML_autonomous_codex.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,74,0,74,32.8889,0,32.8889
original_vs_autonomous,MachineLearn-WineClassifier,gemini,MachineLearn-WineClassifier/GENAIGREENML_autonomous_gemini.py,MachineLearn-WineClassifier/GENAIGREENML_original_telemetry_chatgpt.py,16,0,16,19.7531,0,19.7531
original_vs_assisted,MaliciousSoftwareClassification,chatgpt,MaliciousSoftwareClassification/GENAIGREENML_assisted_chatgpt.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,22,3,19,20.1835,2.9126,17.2709
original_vs_assisted,MaliciousSoftwareClassification,claude,MaliciousSoftwareClassification/GENAIGREENML_assisted_claude.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,4,3,1,5.8824,2.9126,2.9697
original_vs_assisted,MaliciousSoftwareClassification,codex,MaliciousSoftwareClassification/GENAIGREENML_assisted_codex.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,30,3,27,22.7273,2.9126,19.8147
original_vs_assisted,MaliciousSoftwareClassification,gemini,MaliciousSoftwareClassification/GENAIGREENML_assisted_gemini.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,6,3,3,5.9406,2.9126,3.0280
original_vs_autonomous,MaliciousSoftwareClassification,chatgpt,MaliciousSoftwareClassification/GENAIGREENML_autonomous_chatgpt.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,51,3,48,27.4194,2.9126,24.5067
original_vs_autonomous,MaliciousSoftwareClassification,codex,MaliciousSoftwareClassification/GENAIGREENML_autonomous_codex.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,45,3,42,26.4706,2.9126,23.5580
original_vs_autonomous,MaliciousSoftwareClassification,gemini,MaliciousSoftwareClassification/GENAIGREENML_autonomous_gemini.py,MaliciousSoftwareClassification/GENAIGREENML_original_telemetry_chatgpt.py,13,3,10,23.2143,2.9126,20.3017
original_vs_assisted,Multi-Turn-Intent-Classification,chatgpt,Multi-Turn-Intent-Classification/GENAIGREENML_assisted_chatgpt.py,Multi-Turn-Intent-Classification/GENAIGREENML_original_telemetry_chatgpt.py,31,8,23,25,11.2676,13.7324
original_vs_assisted,Multi-Turn-Intent-Classification,claude,Multi-Turn-Intent-Classification/GENAIGREENML_assisted_claude.py,Multi-Turn-Intent-Classification/GENAIGREENML_original_telemetry_chatgpt.py,10,8,2,16.3934,11.2676,5.1258
original_vs_assisted,Multi-Turn-Intent-Classification,codex,Multi-Turn-Intent-Classification/GENAIGREENML_assisted_codex.py,Multi-Turn-Intent-Classification/GENAIGREENML_original_telemetry_chatgpt.py,48,8,40,31.5789,11.2676,20.3113
original_vs_assisted,Multi-Turn-Intent-Classification,gemini,Multi-Turn-Intent-Classification/GENAIGREENML_assisted_gemini.py,Multi-Turn-Intent-Classification/GENAIGREENML_original_telemetry_chatgpt.py,11,8,3,16.6667,11.2676,5.3991
original_vs_autonomous,Multi-Turn-Intent-Classification,codex,Multi-Turn-Intent-Classification/GENAIGREENML_autonomous_codex.py,Multi-Turn-Intent-Classification/GENAIGREENML_original_telemetry_chatgpt.py,118,8,110,41.4035,11.2676,30.1359
original_vs_autonomous,Multi-Turn-Intent-Classification,gemini,Multi-Turn-Intent-Classification/GENAIGREENML_autonomous_gemini.py,Multi-Turn-Intent-Classification/GENAIGREENML_original_telemetry_chatgpt.py,28,8,20,29.4737,11.2676,18.2061
