project,relative_path,file,mode,llm,complexity,ncloc,cognitive_complexity,complexity_per_100_ncloc
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,5,77,1,6.4935
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,24,96,18,25
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,8,42,2,19.0476
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,37,97,34,38.1443
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,5,36,3,13.8889
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,50,212,64,23.5849
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,48,161,80,29.8137
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,13,75,9,17.3333
CT_Project,CT_Project/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,10,41,4,24.3902
CT_Project,CT_Project/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,1,28,2,3.5714
CT_Project,CT_Project/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,13,64,15,20.3125
CT_Project,CT_Project/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,3,33,3,9.0909
CT_Project,CT_Project/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,56,180,79,31.1111
CT_Project,CT_Project/GENAIGREENML_autonomous_claude.py,GENAIGREENML_autonomous_claude.py,autonomous,claude,12,70,18,17.1429
CT_Project,CT_Project/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,60,203,129,29.5567
CT_Project,CT_Project/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,11,63,15,17.4603
CT_Project,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,34,1,5.8824
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,17,82,12,20.7317
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,2,34,2,5.8824
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,25,69,23,36.2319
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,3,32,3,9.3750
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,55,207,77,26.5700
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_claude.py,GENAIGREENML_autonomous_claude.py,autonomous,claude,12,60,13,20
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,73,206,123,35.4369
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,16,77,17,20.7792
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,32,1,6.2500
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,21,75,21,28.0000
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,4,28,3,14.2857
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,18,72,18,25
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,6,33,5,18.1818
