timestamp,project,script,status,exit_code,accuracy,mem_delta_mb,exec_time_s,energy_j,notes
2026-02-20T09:01:54+0100,Air-Quality-Health-Prediction,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,1.000000,0.000,2.404180288,48.084,energy approx on macOS using 20.0W
2026-02-20T09:01:55+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_chatgpt.py,FAILED,1,,0.000,1.117415905,22.348,energy approx on macOS using 20.0W
2026-02-20T09:01:56+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_claude.py,FAILED,1,,0.000,1.108902931,22.178,energy approx on macOS using 20.0W
2026-02-20T09:01:57+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_codex.py,FAILED,1,,0.000,1.002097845,20.042,energy approx on macOS using 20.0W
2026-02-20T09:01:58+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_gemini.py,FAILED,1,,0.000,1.059049129,21.181,energy approx on macOS using 20.0W
2026-02-20T09:02:00+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_chatgpt.py,OK,0,1.000000,0.000,1.161111116,23.222,energy approx on macOS using 20.0W
2026-02-20T09:02:01+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_claude.py,OK,0,,0.000,1.055619001,21.112,energy approx on macOS using 20.0W
2026-02-20T09:02:02+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_codex.py,FAILED,1,,0.000,1.002892017,20.058,energy approx on macOS using 20.0W
2026-02-20T09:02:03+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_gemini.py,OK,0,0.000000,0.000,0.954163790,19.083,energy approx on macOS using 20.0W
2026-02-20T09:02:03+0100,Algorithms_KnnClasifier,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.720000,0.000,0.511126041,10.223,energy approx on macOS using 20.0W
2026-02-20T09:02:04+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_chatgpt.py,OK,0,0.720000,0.000,0.240971088,4.819,energy approx on macOS using 20.0W
2026-02-20T09:02:04+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_claude.py,OK,0,0.720000,0.000,0.242408991,4.848,energy approx on macOS using 20.0W
2026-02-20T09:02:04+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_codex.py,OK,0,0.720000,0.000,0.242466927,4.849,energy approx on macOS using 20.0W
2026-02-20T09:02:04+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_gemini.py,OK,0,0.720000,0.000,0.237365007,4.747,energy approx on macOS using 20.0W
2026-02-20T09:02:06+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_chatgpt.py,OK,0,1.000000,0.000,1.749687910,34.994,energy approx on macOS using 20.0W
2026-02-20T09:02:07+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_claude.py,OK,0,,0.000,0.941104889,18.822,energy approx on macOS using 20.0W
2026-02-20T09:02:08+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_codex.py,FAILED,1,,0.000,0.956068039,19.121,energy approx on macOS using 20.0W
2026-02-20T09:02:09+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_gemini.py,OK,0,0.723881,0.000,0.949341059,18.987,energy approx on macOS using 20.0W
2026-02-20T09:02:12+0100,animals-classification,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.961538,0.000,2.845073223,56.901,energy approx on macOS using 20.0W
2026-02-20T09:02:13+0100,animals-classification,GENAIGREENML_assisted_chatgpt.py,OK,0,0.961538,0.000,0.983822107,19.676,energy approx on macOS using 20.0W
2026-02-20T09:02:14+0100,animals-classification,GENAIGREENML_assisted_claude.py,OK,0,0.961538,0.000,0.886224270,17.724,energy approx on macOS using 20.0W
2026-02-20T09:02:15+0100,animals-classification,GENAIGREENML_assisted_codex.py,OK,0,0.961538,0.000,0.897694826,17.954,energy approx on macOS using 20.0W
