timestamp,project,script,status,exit_code,accuracy,mem_delta_mb,exec_time_s,energy_j,notes
2026-03-13T12:36:43+0100,Air-Quality-Health-Prediction,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,1.000000,0.000,3.293149948,65.863,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:45+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_chatgpt.py,OK,0,0.000000,0.000,1.486206055,29.724,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:46+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_claude.py,OK,0,,0.000,1.102195978,22.044,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:47+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_codex.py,OK,0,0.956522,0.000,1.369651794,27.393,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:48+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.996794,0.000,1.257021904,25.140,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:50+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_codex.py,OK,0,0.560613,0.000,1.211421967,24.228,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:51+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_gemini.py,OK,0,0.980769,0.000,1.159796953,23.196,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:52+0100,Algorithms_KnnClasifier,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.720000,0.000,0.567223072,11.344,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:53+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_chatgpt.py,OK,0,0.750000,0.000,0.287401915,5.748,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:53+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_claude.py,OK,0,0.720000,0.000,0.273000240,5.460,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:53+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_codex.py,OK,0,72.000000,0.000,0.289181948,5.784,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:54+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_gemini.py,OK,0,0.720000,0.000,0.291905880,5.838,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:55+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.753731,0.000,1.489206076,29.784,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:56+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_codex.py,OK,0,0.723881,0.000,0.999537945,19.991,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:36:57+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_gemini.py,OK,0,0.746269,0.000,1.005507946,20.110,requirements installed | energy approx on macOS using 20.0W
2026-03-13T12:37:00+0100,animals-classification,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.961538,0.000,1.883858919,37.677,requirements installed | energy approx on macOS using 20.0W
